"","CountryID","IDSCHOOL","IDSTUD","Gender","Num_of_Books","Born_in_Country","EmotionalFactor","MathematicalTendencyFactor","ses","y"
"27","792","5001.T","50011231","1","5","2","-1.87192356200233","-0.322773276864748","15",603.728956
"28","792","5001.T","50011232","2","3","2","0.157294808406714","-0.412417284223728","11",602.598128
"29","792","5001.T","50011233","1","3","2","0.188570776962981","0.361337621190143","11",630.925696
"30","792","5001.T","50011234","2","4","2","0.447015595922935","1.1248569140267","15",696.78803
"31","792","5002.T","50020101","2","3","1","0.758279999835613","-1.29082810112583","11",433.599496
"32","792","5002.T","50020102","1","2","2","0.849091531624245","0.304984258907648","11",443.005656
"33","792","5002.T","50020103","1","2","2","-0.137321588319689","0.749205719006495","11",366.456476
"34","792","5002.T","50020104","1","1","1","0.462740459839265","0.429368185245519","10",359.754626
"35","792","5002.T","50020106","2","2","2","0.647624681847419","1.2938750365579","14",631.095158
"37","792","5002.T","50020108","1","3","2","0.651560910375057","0.989720644321118","11",466.349194
"38","792","5002.T","50020109","1","3","2","0.647624681847419","1.2938750365579","11",438.802072
"39","792","5002.T","50020110","1","1","2","0.749854962854616","0.526430741026452","14",355.494978
"42","792","5002.T","50020114","2","2","2","0.431125371132869","1.12983217298589","11",508.658124
"44","792","5002.T","50020116","1","2","2","0.414320103468445","1.28609014992167","11",345.214824
"45","792","5002.T","50020117","1","2","2","0.894088859896789","-1.00595436161203","11",341.692882
"46","792","5003.T","50030801","2","2","2","0.568500353975335","0.513341866681896","14",572.876332
"47","792","5003.T","50030803","2","5","2","0.0554924728795724","0.995725012164747","11",635.92068
"48","792","5003.T","50030804","2","2","2","0.419189767824612","1.33523328094243","12",616.346742
"49","792","5003.T","50030805","2","3","2","0.708384171954142","0.213482388491811","12",650.83317
"51","792","5003.T","50030807","2","3","2","0.120264577328549","0.0419484995606736","14",590.184424
"52","792","5003.T","50030808","2","4","2","-0.277871790958301","-0.702613648054918","14",561.86801
"53","792","5003.T","50030811","2","5","2","0.647624681847419","1.2938750365579","16",616.469802
"54","792","5003.T","50030812","2","5","2","-1.29065357251273","-0.632382975043636","12",594.69131
"55","792","5003.T","50030813","2","2","2","1.03589977368847","-1.70483153433002","12",613.643548
"56","792","5003.T","50030814","2","3","2","-0.19993633238979","0.655564382823234","12",568.634234
"58","792","5003.T","50030816","2","3","2","-2.14634513582421","0.325085061767481","13",565.300768
"60","792","5003.T","50030819","2","4","2","0.110838406403424","1.41261344224937","13",488.485464
"61","792","5003.T","50030820","2","5","2","0.69207651363986","0.622277998024996","13",496.239242
"62","792","5003.T","50030821","2","4","2","-0.0673083710787187","-0.243888280739795","15",523.54972
"63","792","5003.T","50030822","2","1","2","0.116742549779888","0.153343989618044","12",540.500568
